Name; Operating system; User interface; Sector by sector[ a]; File by file[ b]; Hot transfer[ c]; Mount or extract[ d]; Operation model; Operation model; Operation model; License
Name; Operating system; User interface; Sector by sector[ a]; File by file[ b]; Hot transfer[ c]; Mount or extract[ d]; Standalone; Clientâ€“server; From a Live OS; License
Acronis True Image[ 1]; Windows; Graphical; Yes[ e]; FAT32, NTFS[ f]; Yes; Yes; Yes; Yes; Yes (64 MB); Trialware[ g]
Apple Software Restore; macOS; Command-line; Yes; HFS+; No; via hdiutil; Yes; Yes; No; Part of macOS
CloneDisk[ 2]; Windows 7; Graphical; Yes; FAT, FAT32, NTFS, exFAT, UDF; No; Yes; Yes; Yes; Yes; Freeware
Clonezilla[ 3]; Linux; Text-based; Yes; FAT12, FAT16, FAT32, NTFS, ext2, ext3, ext4, reiserfs, reiser4, xfs, jfs, btrfs, f2fs, NILFS2, HFS+, UFS, minix, VMFS3; No; Through a hack[ 4]; Yes; Yes (Clonezilla server edition); Yes (210 MB); GPL
dcfldd; Linux; Command-line; Yes; No; No; Yes; Yes; No; ?; GPL
dd (Unix); Unix; Command-line; Yes; No; No; Yes[ h]; Yes; No; Yes[ i]; GPLv3
Disk Utility; macOS; Graphical; Yes; HFS+; Yes; Yes; Yes; No; Yes; Part of macOS
Drive SnapShot[ 5]; Windows; Graphical, Command-line; Yes[ 6]; No; Yes; Yes; Yes; No; No; Trialware
FSArchiver; Linux; Text-based; No; FAT32, btrfs, ext2, ext3, ext4, ReiserFS-4, HPFS, JFS, XFS; ?; ?; Yes; No; ?; GPL
Ghost[ 7]; Windows; Graphical, Command-line; Yes; FAT32, NTFS, HPFS, ext2, ext3 [ 8]; Yes; Yes; Yes; Yes; Yes; Trialware
GParted Live CD[ 9]; Linux; Graphical; No; ext2, ext3; No; No; Yes; No; Yes; GPL
HDClone[ 10]; Windows, (Linux[ 11] ); Graphical, Command-line; Yes; FAT16, FAT32, ExFAT, NTFS, ReFS, ext2, ext3, ext4, XFS, HFS+; Yes; Yes; Yes; No; Yes; Freemium
Image for Windows[ 12]; Windows; Graphical; Yes; FAT32, NTFS, ext2, ext3; Yes; Yes; Yes; No; Yes; Trialware
IsoBuster[ 13]; Windows; Graphical; Yes; FAT12, FAT16, FAT32, ExFAT, NTFS, ext2, ext3, ext4, MFS, HFS, HFS+, UDF, XFS[ 14]; No; Yes; Yes; No; Yes; Trialware
Kleo Bare Metal Backup; Independent (Live OS); Graphical; Yes; FAT32, NTFS, ext2, ext3, HFS+; No; ?; No; Yes; Yes (570 MB); Freeware
Mondo Rescue[ 15]; Linux; Text-based; Yes; FAT32, NTFS, ext2, ext3; Yes; ?; Yes; ?; Yes *[ j]; GPL
ntfsclone[ 16] [ 17]; Linux; Command-line; No; NTFS; ?; ?; Yes; No; No[ k]; GPL
partimage[ 18] [ 19]; Linux; Text-based; No; FAT32, ext2, ext3, ReiserFS-3, HPFS, JFS, XFS UFS (beta), HFS (beta), NTFS (experimental)[ 20]; ?; ?; Yes; Yes; No[ k]; GPL
Partition-Saving[ 21]; Windows, Linux, DOS; Text-based Command-line; Yes; FAT32, NTFS, ext2, ext3; No; Yes; Yes; No; Yes; Freeware
Redo Backup and Recovery; Independent (Live OS); Graphical; Yes; FAT32, NTFS, ext2, ext3, ext4; No; No; No; Can access networked drives; Yes (225 MB); GPL
