Server; Security; Security; Security; Â ; Dynamic content[ a]; Dynamic content[ a]; Dynamic content[ a]; Dynamic content[ a]; Dynamic content[ a]; Dynamic content[ a]; Dynamic content[ a]; Dynamic content[ a]; ; ; ; ; ; 
Server; basic access authentication; digest access authentication; SSL/TLS https; virtual hosting; CGI; FCGI; SCGI; WSGI; Java Servlets; SSI; ISAPI; SSJS; Runs in user space or kernel space; Administration console; IPv6; HTTP/2; QUIC; HTTP/3
AOLserver; Yes; No; Yes[ b] [ c] [ d] [ 1]; Yes; Yes; No; Unknown; No; No; Yes; Unknown; Unknown; user; Unknown; Unknown; Unknown; Unknown; Unknown
Apache HTTP Server; Yes; Yes; Yes[ e] [ c] [ 2] [ f] [ 3]; Yes; Yes; Yes; Yes; Yes[ e]; No[ g]; Yes; Yes[ h]; Unknown; user; Yes[ i]; Yes; Yes; Unknown; Unknown
Apache Tomcat; Yes; Yes; Yes[ j] [ 4]; Yes; Yes; No; Unknown; No; Yes; Yes; No[ k]; Unknown; user; Yes; Yes[ l]; Yes; Unknown; Unknown
Boa; No; No; Yes[ m]; Yes; Yes; No; Unknown; No; No; No; No; Unknown; user; Unknown; Yes; Unknown; Unknown; Unknown
Caddy; Yes; No; Yes; Yes; Partial[ n]; Yes; No; No; No; No[ o]; No; No; user; No; Yes; Yes; Yes; Unknown
Caucho Resin Server; Yes; Yes; paid version[ c]; Yes; Yes; Yes; Unknown; No; Yes; Yes; No; Unknown; user; Yes; Yes; Unknown; Unknown; Unknown
Caudium; Yes; Yes; Yes; Yes; Yes; Yes; Unknown; No; Yes; Yes; Unknown; Unknown; user; Yes; Yes[ p]; Unknown; Unknown; Unknown
Cherokee HTTP Server; Yes; Yes; Yes; Yes; Yes; Yes; Yes; Yes; No; Yes; No; Unknown; user; Yes; Yes[ 5]; Unknown; Unknown; Unknown
H2O; Yes; No; Yes; Yes; Yes; Yes; No; No; No; No; No; No; user; No; Yes; Yes; No; No
HFS; Yes; No; Yes via Stunnel[ 6]; No; No; No; Unknown; No; No; No; Unknown; Unknown; user; Unknown; No; Unknown; Unknown; Unknown
Hiawatha HTTP Server; Yes; Yes; Yes[ q] [ 7]; Yes; Yes; Yes; No; No; No; Yes; No; Unknown; user; Yes; Yes; Unknown; Unknown; Unknown
IBM HTTP Server; Yes; Yes; Yes; Yes; Yes; Yes; Unknown; No; No; Yes; No; Unknown; user; Yes; Yes; Unknown; Unknown; Unknown
Internet Information Services; Yes; Yes; Yes; Yes; Yes; Yes; Yes; No; No[ r]; Yes; Yes; Yes; kernel and user[ 8]; Yes; Yes; Yes; Unknown; Unknown
Jetty; Yes; Yes; Yes; Yes; Yes; Unknown; Unknown; No; Yes; Unknown; Unknown; Yes; user; Unknown; Unknown; Yes; Unknown; Unknown
Jexus; No; No; Yes; Yes; No; Yes; No; No; No; No; No; Yes; user; Yes; No; Unknown; Unknown; Unknown
lighttpd; Yes; Yes; Yes[ c] [ 9]; Yes; Yes; Yes; Yes; Yes; No[ g]; Yes; No; No; user; No; Yes; No; Unknown; Unknown
LiteSpeed Web Server; Yes; Yes; Yes; Yes; Yes; Yes; Unknown; Yes; No[ g]; Yes; No; Unknown; user; Yes; Yes; Yes; Yes; Yes[ 10]
Mongoose; Yes; Yes; Yes; Yes; Yes; No; No; No; No; Yes; No; No; user; Yes; Yes; Unknown; Unknown; Unknown
Monkey HTTP Server; Yes; No; Yes[ q]; Yes; Yes; Yes; No; No; No; No; No; No; user; No; Yes; Unknown; Unknown; Unknown
NaviServer; Yes; No; Yes; Yes; Yes; No; Unknown; No; No; Yes; Unknown; Unknown; user; Yes; Yes; Unknown; Unknown; Unknown
NCSA HTTPd; Yes; Yes; Unknown; Partial[ s]; Yes; Unknown; Unknown; No; No; Yes; No; Unknown; user; Unknown; Unknown; Unknown; Unknown; Unknown
nginx; Yes; Yes (module); Yes; Yes; No; Yes; Yes; Yes; No[ 11]; Yes; No; Unknown; user; Yes[ 12]; Yes[ 13]; Yes[ 14]; Unknown; Unknown
OpenLinkVirtuoso; Yes; Yes; Yes; Yes; No; No; No; No; Yes; Yes; No; No; user; Yes; No; No; Unknown; Unknown
Oracle HTTP Server[ 15]; Yes; Yes; Yes; Yes; Yes; Yes; Unknown; No; No; Yes; No; Unknown; user; Yes[ t]; Yes; Unknown; Unknown; Unknown
Oracle iPlanet Web Server; Yes; Yes; Yes; Yes; Yes; Yes; Unknown; No; Yes; Yes; No; Yes; user; Yes; Yes; Unknown; Unknown; Unknown
thttpd; Yes; Unknown; No; Yes; Yes; No; Unknown; No; No; No; No; Unknown; user; No; Yes; Unknown; Unknown; Unknown
TUX web server; No; No; No; Yes; Yes; No; Unknown; No; No; No; No; Unknown; kernel; Unknown; Unknown; Unknown; Unknown; Unknown
Wakanda Server; Yes; Yes; Yes; Yes; No; No; No; No; No; No; No; Yes; user; Yes; Yes; Unknown; Unknown; Unknown
Xitami; Yes; Unknown; paid version; Yes; Yes; Unknown; Unknown; No; Unknown; Yes; Unknown; Unknown; user; Unknown; Unknown; Unknown; Unknown; Unknown
Yaws; Yes; Unknown; Yes; Yes; Yes; Yes; Unknown; No; No; Yes; No; Unknown; user; Unknown; Yes; Unknown; Unknown; Unknown
Zeus Web Server; Yes; Yes; Yes; Yes; Yes; Yes; Unknown; No; No[ g]; Yes; Yes; Unknown; user; Yes; No; Unknown; Unknown; Unknown
