;Developer;Software release life cycle#ReleaseFirst release;Latest release;Panels/pad;Modifiers;Courses;Bombs;USB Card
''Dance Aerobics'';Human Entertainment;1987 (''Dance Aerobics'');N/A;10;no;yes;no;no
''Dance Dance Revolution'';Konami;1998 (''Dance Dance Revolution'');2019 (''Dance Dance Revolution A20'');4;yes;yes;partial ;yes (X to Dance Dance Revolution X3X3)
''Pump It Up'';Andamiro;1999 (''Pump It Up'') ;2019 (''Pump It Up XX'');5 for single, 10 for double;yes;yes;yes;yes 
''Dance Maniax'';Konami;1999 (''Dance Maniax'');2000 (''Dance Maniax#VersionsDance Freaks'');0 (4 hand sensors);yes;yes;no;no
''3DDX'';NGG Entertainment;2000 (''3DDX'');N/A;4;?;?;?;?
''EZ2Dancer'';AmuseWorld;2000 (''EZ2Dancer'');2004 (''EZ2Dancer SuperChina'');3 (2 hand sensors);?;?;?;?
''ParaParaParadise'';Konami;2000 (''ParaParaParadise'');2000 (''ParaParaParadise#Korean versionParaParaDancing'');0 (8 hand sensors);?;?;?;?
''TechnoMotion'';F2 Systems;2000 (''TechnoMotion'');(''TechnoMotion#VersionsTechnoMotion The 2nd Dance Floor!'');8;yes;no;no;no
''Dance: UK'';Broadsword Interactive Limited;2003 (''Dance:UK'');N/A;8;?;?;?;?
''EyeToy: Groove'';SCE London Studio;2003 (''EyeToy: Groove'');N/A;0 (6 virtual hand sensors);no;no;no;no
''In The Groove'';Roxor;2004 (''In The Groove'');2005 (''In The Groove 2'');4;yes;yes;yes;yes
''MC Groovz Dance Craze'';Mad Catz;2004 (''MC Groovz Dance Craze'');N/A;8;?;?;?;no
''Dance Praise'';Digital Praise;2005 (''Original Dance Praise'');2007 (''Dance Praise 2: The ReMix'');4;no;partial;yes;no
''StepMania'';MIT License;1998 (''StepMania'');(''StepMania 5'');3-10;yes;yes;yes;yes
''Performous'';GPL License;2009;2010;8;no;no;yes;yes
''Dance 86.4 Funky Radio Station'';Konami;2005 (''Dance 86.4 Funky Radio Station'');N/A;3;?;?;yes;?
''Mungyodance'';Empathetic Gaming (MGD/MGD2)  Monakai (MGD3);2005 (''Mungyodance'');2008 (''Mungyodance 3 The Third Rave'');4;yes  (limited);yes;yes;yes
''Cyber coach'';Quick Controls Ltd;2007 (''Cyber coach'');N/A;8 ;?;?;?;?
''Pump_It_Up_(video_game_series)#The_Pro.2FInfinity_SeriesPump It Up Pro'';Fun in Motion;2007 (''Pump It Up Pro'');2014 (''Pump It Infinity'');5;yes;yes;yes;yes